,Unnamed: 0,index,dataset,start_age,end_age,sex,tissue,subtissue,cell_ontology_class,gene,fold_change_log2,expression_at_start_age,expression_at_end_age,expression_max_std_dev,p_value,uniprot_mouse,uniprot_daphnia
4236,42784,534,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,oligodendrocyte,Atp6v1a,-6.470345973968506,0.00015423404693137854,1.7394493170286296e-06,0.00021523676696233446,3.214267520834757e-29,P50516,E9FSB2
4237,15364,632,droplet,3m,30m,male,Liver,,,Kng1,-6.470303058624268,0.0014002565294504163,1.579254967509769e-05,0.001221241895109415,1.1181064809237848e-124,O08677,
4238,2998,573,droplet,3m,24m,male,Kidney,,,Ifi44,-6.470245361328125,4.562713002087549e-05,5.146172838976781e-07,0.0001591429463587701,1.0978538465504541e-16,Q8BV66,
4239,35402,535,facs,3m,24m,male,Marrow,Granulocytes,promonocyte,Bcl2a1b,6.469910621643066,7.901063554527354e-07,7.003631617408246e-05,0.0001519417273811996,9.753815220367236e-08,,
4240,37734,536,facs,3m,24m,male,Brain_Non-Myeloid,Hippocampus,oligodendrocyte,Cyb5b,-6.467963695526122,4.49475774075836e-05,5.077550895293825e-07,9.671343286754565e-05,1.468626425466433e-12,Q9CQX2,
4241,15365,633,droplet,3m,30m,male,Lung,,,Spon1,-6.466832637786865,0.0002816759806592017,3.1844845125306165e-06,0.0003867157502099872,2.251978802978654e-245,Q8VCC9,E9GRX8
4242,2999,574,droplet,3m,24m,male,Kidney,,,Inpp5j,-6.466612815856934,2.3289001546800133e-05,2.633327369494509e-07,8.040116517804563e-05,1.129516751707947e-14,P59644,
4243,15366,634,droplet,3m,30m,male,Liver,,,AI182371,-6.466204643249513,0.00036697729956358666,4.150664153712569e-06,0.0003735096252057701,3.488845811926561e-90,,
4244,30048,16,droplet,3m,21m,female,Kidney,,kidney proximal convoluted tubule epithelial cell,Igj,6.46492862701416,4.346718753822642e-07,3.839724013232626e-05,0.00010350082447985189,1.8666662110980065e-19,,
4245,42364,537,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,medium spiny neuron,Coro1b,-6.464104175567628,0.00013771283556707203,1.5598575373587662e-06,0.00014805322280153632,2.6204171783491288e-08,Q9WUM3,
4246,23951,108,droplet,3m,24m,male,,,,Prtn3,6.462982177734375,1.5582304513372949e-06,0.00013746225158683956,0.0010493937879800797,4.650200390675387e-129,Q61096,
4247,28783,187,facs,3m,18m,female,Trachea,,chondrocyte,Psma7,-6.462791919708253,7.943379750940949e-05,9.005557899399719e-07,8.727590466151014e-05,1.5023442652288762e-20,Q9Z2U0,
4248,3000,575,droplet,3m,24m,male,Kidney,,,Evc,-6.462604999542236,7.271249342011288e-05,8.244618925346003e-07,0.00013592225150205195,1.6831990983233524e-65,P57680,
4249,42365,538,facs,3m,24m,male,Brain_Non-Myeloid,Striatum,medium spiny neuron,Ahcyl1,-6.461803436279298,0.00011389808059902862,1.2921691450173969e-06,0.00012143773346906528,1.6897318518549075e-08,Q80SW1,E9HK94
4250,36039,539,facs,3m,24m,male,Liver,Hepatocytes,hepatocyte,Mup16,-6.46135139465332,2.592707096482627e-05,2.9423307523757103e-07,3.062452742597088e-05,8.843881916580966e-19,,
4251,5829,447,facs,3m,18m,female,Liver,,,Clic1,6.461273670196532,7.5567168096313245e-06,0.0006658408674411477,0.0006473007961176336,3.1760653199105353e-114,Q9Z1Q5,
4252,23062,154,droplet,3m,18m,male,,,,Mmp9,6.459745407104492,2.2296828774415194e-06,0.00019625481218099597,0.0006404852611012758,0.0,P41245,
4253,32471,540,facs,3m,24m,male,Brain_Non-Myeloid,Cortex,oligodendrocyte,Lamc1,-6.459080219268799,2.823165232257452e-05,3.208914449714939e-07,8.647842332720757e-05,1.88164939668383e-06,P02468,
4254,19874,634,droplet,24m,30m,male,Pancreas,,,Ptprn2,6.458192348480225,7.391933536382568e-07,6.499326264020056e-05,0.00021026180183980614,1.3607920252786551e-45,P80560,E9FUX3
4255,15367,635,droplet,3m,30m,male,Lung,,,Tmem150c,-6.457877159118652,1.2124107342970094e-05,1.3792148934044235e-07,5.876878640265204e-05,8.259346687052712e-09,Q8C8S3,
4256,15368,636,droplet,3m,30m,male,Lung,,,Figf,-6.454203128814697,0.00023648960632272065,2.6971383704221807e-06,0.00038156428490765393,1.5370690998805556e-176,,
4257,5830,448,facs,3m,18m,female,Liver,,,Blnk,6.4536662101745605,1.393896923218563e-06,0.00012217382027301937,0.00037065352080389863,1.0643801571270727e-08,Q9QUN3,
4258,23952,109,droplet,3m,24m,male,,,,Ermap,6.453071594238281,2.629015511956823e-07,2.3033655452309173e-05,0.00010602846305118875,4.747669489783099e-83,Q9JLN5,
4259,19875,635,droplet,24m,30m,male,Kidney,,,Col27a1,6.45185661315918,3.30052017716298e-07,2.8892565751448274e-05,9.073162073036657e-05,9.781433851256014e-69,Q5QNQ9,
4260,32326,541,facs,3m,24m,male,Brain_Non-Myeloid,Cortex,astrocyte,Rftn2,-6.4514360427856445,0.00014021233073435724,1.6021757573980722e-06,0.00023300286557059732,3.0071041331337363e-13,Q8CHX7,
4261,15369,637,droplet,3m,30m,male,Lung,,,C1s,-6.450972557067871,0.00022987094416748727,2.627530420795665e-06,0.00036794206243939703,3.027749507488888e-179,,
4262,15370,638,droplet,3m,30m,male,Liver,,,Dgat2,-6.450681686401367,0.0003014437388628721,3.446334176260279e-06,0.0002712183340918273,3.733892851513363e-116,Q9DCV3,
4263,32472,542,facs,3m,24m,male,Brain_Non-Myeloid,Cortex,oligodendrocyte,Taco1,-6.45028018951416,1.86735596798826e-05,2.135488585963685e-07,5.413791222963482e-05,1.2064619206108905e-06,Q8K0Z7,E9H1X7
4264,19876,636,droplet,24m,30m,male,Kidney,,,4931406C07Rik,6.450253486633301,4.3454083424876436e-06,0.0003799710248131305,0.00048100494313985115,0.0,,
4265,32473,543,facs,3m,24m,male,Brain_Non-Myeloid,Cortex,oligodendrocyte,Per1,-6.449490547180176,3.168829789501615e-05,3.6258322211324407e-07,8.661000174470247e-05,5.580092024610318e-09,O35973,
4266,23063,155,droplet,3m,18m,male,,,,Susd5,-6.449470520019531,4.58569047623314e-05,5.247105718808598e-07,0.00015088217332959175,2.979081691132136e-214,,
